Node1,Node2
MUC1,ST6GAL1
MUC1,GALNT11
MUC1,GALNTL5
MUC1,GALNTL6
MUC1,GALNT9
MUC1,GALNT1
MUC1,GALNT16
MUC1,GALNT14
MUC1,GALNT2
MUC1,GALNT12
MUC1,GALNT10
MUC1,GALNT8
MUC1,GALNT5
MUC1,GCNT3
MUC1,GALNT3
MUC1,GALNT7
MUC1,GALNT15
MUC1,GALNT4
MUC1,GALNT6
MUC1,C1GALT1C1
MUC1,C1GALT1
MUC1,B3GNT6
MUC1,GCNT1
MUC1,B3GNT3
MUC1,MUCL1
MUC1,MUC15
MUC1,MUC21
MUC1,MUC3A
MUC1,MUC17
MUC1,MUC12
MUC1,MUC13
MUC1,MUC20
MUC1,MUC7
MUC1,MUC6
MUC1,MUC4
MUC1,MUC5AC
MUC1,MUC5B
MUC1,MUC16
MUC1,MUC1
MUC1,ST6GALNAC2
MUC1,GALNT18
MUC1,GALNT13
MUC1,ST6GALNAC3
MUC1,ST3GAL3
MUC1,ST3GAL1
MUC1,ST6GALNAC4
MUC1,ST3GAL2
MUC1,CLEC10A
MUC1,STAT3
MUC1,EGFR
MUC1,ST3GAL4
SERPINE1,TIMP1
SERPINE1,SMAD4
SERPINE1,SMAD7
SERPINE1,VTN
SERPINE1,LRP1
SERPINE1,SMAD2
SERPINE1,PLAT
SERPINE1,PLAUR
SERPINE1,PLAU
SERPINE1,SMAD3
SERPINE1,F5
SERPINE1,HRG
SERPINE1,FGG
SERPINE1,FGA
SERPINE1,FGB
SERPINE1,F8
SERPINE1,ACTN4
SERPINE1,ORM1
SERPINE1,F13A1
SERPINE1,PROS1
SERPINE1,SRGN
SERPINE1,SERPINF2
SERPINE1,CFD
SERPINE1,AHSG
SERPINE1,KNG1
SERPINE1,PPBP
SERPINE1,IGF2
SERPINE1,PDGFB
SERPINE1,TGFB3
SERPINE1,VEGFC
SERPINE1,PF4
SERPINE1,TGFB2
SERPINE1,VWF
SERPINE1,SPARC
SERPINE1,A2M
SERPINE1,IGF1
SERPINE1,ALB
SERPINE1,HGF
SERPINE1,PLG
SERPINE1,FN1
SERPINE1,VEGFA
SERPINE1,SERPINE1
SERPINE1,EGF
SERPINE1,THBS1
SERPINE1,TGFB1
SERPINE1,ITGB3
SERPINE1,ITGAV
SERPINE1,ARNTL2
SERPINE1,VLDLR
SERPINE1,ARNTL
SERPINE1,CLOCK
EGR1,HDAC7
EGR1,IRF1
EGR1,PHC3
EGR1,PPARG
EGR1,SNAI2
EGR1,SNAI1
EGR1,SUZ12
EGR1,REST
EGR1,EGR1
EGR1,MTA3
EGR1,EED
EGR1,ATF2
EGR1,JUN
EGR1,CHD3
EGR1,CHD4
EGR1,MTA1
EGR1,HDAC5
EGR1,TP53
EGR1,RCOR1
EGR1,EZH2
EGR1,NR2E1
EGR1,RBBP4
EGR1,RBBP7
EGR1,KDM1A
EGR1,HDAC3
EGR1,HDAC2
EGR1,HDAC1
EGR1,MAPK1
EGR1,RNASEL
EGR1,JUNB
EGR1,FOSB
EGR1,NFATC1
EGR1,IRF3
EGR1,MAPK3
EGR1,FOS
EGR1,CDK5R1
EGR1,IFIT3
EGR1,IFI6
EGR1,IRF5
EGR1,IFIT2
EGR1,IFIT1
EGR1,MX1
EGR1,OASL
EGR1,IRF7
EGR1,ISG15
EGR1,STAT2
EGR1,IRF2
EGR1,IRF4
EGR1,IRF8
EGR1,NFATC3
EGR1,NFATC2
FOS,MAPK1
FOS,JUNB
FOS,CEBPA
FOS,HDAC1
FOS,GATA2
FOS,FOSB
FOS,NFATC1
FOS,NOTCH1
FOS,PPARG
FOS,EP300
FOS,HMOX1
FOS,CCL2
FOS,JUND
FOS,TNF
FOS,CCND1
FOS,MAPK14
FOS,TNFSF11
FOS,ESR2
FOS,ETS2
