,Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade,Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
0,MYCN,1,BIRC5,74,74,26,0,oncogene,0,0,1,0.6216216216216216,1,MYCN,Oncogene,"Transcriptional misregulation, Apoptosis, Proliferation of cells",None Found,Activation,3,2,0,0,1,,,,,1,
1,ILF3,1,BIRC5,74,74,26,0,Tumorsupressor gene,0,0,1,0.6216216216216216,1,ILF3,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Activation,10,4,0,0,6,,,,,1,
2,FOXO3,1,BIRC5,74,74,26,0,"proto-oncogene, tumorsupressor",0,0,1,0.6216216216216216,1,FOXO3,"Proto-oncogene, Tumorsupressor","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,3,1,1,0,1,,,,,1,
3,EHMT2,1,BIRC5,74,74,26,0,oncogene,0,0,1,0.6216216216216216,1,EHMT2,Oncogene,"Apoptosis, Proliferation of cells",None Found,Unknown,2,2,0,0,0,,,,,1,
4,E2F4,1,BIRC5,74,74,26,0,TF,0,0,1,0.6216216216216216,1,E2F4,TF,Cell Signaling,None Found,Unknown,1,0,0,1,0,,,,,1,
5,DNMT1,1,BIRC5,74,74,26,0,"oncogene, tumorsupressor, cigene",0,0,1,0.6216216216216216,1,DNMT1,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,Repression,9,6,3,0,0,,,,,1,
6,APC,1,BIRC5,74,74,26,0,tumorsupressor,0,0,1,0.6216216216216216,1,APC,Tumorsupressor,Cell Signaling,None Found,Unknown,23,18,3,2,0,,,,,1,
7,SPDEF,1,MMP9,81,81,32,0,"oncogene, tumorsupressor",0,0,0,,0,SPDEF,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,Repression,4,4,0,0,0,,,,,1,
8,SP2,1,MMP9,81,81,32,0,TF,0,0,0,,0,SP2,TF,"Apoptosis, Cell Signaling",None Found,Repression,2,2,0,0,0,,,,,1,
9,SIRT1,1,MMP9,81,81,32,0,"oncogene, tumorsupressor",0,0,0,,0,SIRT1,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,3,2,0,0,1,,,,,1,
10,NFKBIA,1,MMP9,81,81,32,0,oncogene,0,0,0,,0,NFKBIA,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,2,1,0,0,1,,,,,1,
11,MAZ,1,MMP9,81,81,32,0,Tumorsupressor gene,0,0,0,,0,MAZ,Tumorsupressor,Proliferation of cells,None Found,Unknown,7,3,2,1,1,,,,,1,
12,KLF8,1,MMP9,81,81,32,0,oncogene,0,0,0,,0,KLF8,Oncogene,Proliferation of cells,None Found,Activation,2,0,0,0,2,,,,,1,
13,KLF6,1,MMP9,81,81,32,0,"oncogene, tumorsupressor",0,0,0,,0,KLF6,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,Repression,1,1,0,0,0,,,,,1,
14,IKBKB,1,MMP9,81,81,32,0,oncogene,0,0,0,,0,IKBKB,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,10,5,0,1,4,,,,,1,
