Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating,Regulating Mutually Exclusively (ones array),ME,category
MYCN,1,BIRC5,74,74,26,0,oncogene
ILF3,1,BIRC5,74,74,26,0,Tumorsupressor gene
FOXO3,1,BIRC5,74,74,26,0,"proto-oncogene, tumorsupressor"
EHMT2,1,BIRC5,74,74,26,0,oncogene
E2F4,1,BIRC5,74,74,26,0,TF
DNMT1,1,BIRC5,74,74,26,0,"oncogene, tumorsupressor, cigene"
APC,1,BIRC5,74,74,26,0,tumorsupressor
SPDEF,1,MMP9,81,81,32,0,"oncogene, tumorsupressor"
SP2,1,MMP9,81,81,32,0,TF
SIRT1,1,MMP9,81,81,32,0,"oncogene, tumorsupressor"
NFKBIA,1,MMP9,81,81,32,0,oncogene
MAZ,1,MMP9,81,81,32,0,Tumorsupressor gene
KLF8,1,MMP9,81,81,32,0,oncogene
KLF6,1,MMP9,81,81,32,0,"oncogene, tumorsupressor"
IKBKB,1,MMP9,81,81,32,0,oncogene
ELF4,1,MMP9,81,81,32,0,oncogene
CIITA,1,MMP9,81,81,32,0,oncogene
XBP1,1,ESR1,72,72,89,0,Tumorsupressor gene
NR2E3,1,ESR1,72,72,89,0,oncogene
MECP2,1,ESR1,72,72,89,0,cigene
LEF1,2,"BIRC5,ESR1",146,"74,72","26,89",0,oncogene
KDM4B,1,ESR1,72,72,89,0,Tumorsupressor gene
HDAC9,1,ESR1,72,72,89,0,Tumorsupressor gene
BARX2,1,ESR1,72,72,89,0,Tumorsupressor gene
BARD1,1,ESR1,72,72,89,0,"oncogene, tumorsupressor"
ZFHX3,1,ESR1,72,72,89,0,tumorsupressor
UGT2B15,1,ESR1,72,72,89,0,oncogene
UGT1A4,1,ESR1,72,72,89,0,Tumorsupressor gene
TYMS,1,ESR1,72,72,89,0,oncogene
TAC3,1,ESR1,72,72,89,0,Tumorsupressor gene
SERPINB9,1,ESR1,72,72,89,0,oncogene
RUNX2,1,ESR1,72,72,89,0,tumorsupressor
RET,1,ESR1,72,72,89,0,oncogene
RARA,1,ESR1,72,72,89,0,oncogene
PTMA,1,ESR1,72,72,89,0,oncogene
PMAIP1,1,ESR1,72,72,89,0,Tumorsupressor gene
OXT,1,ESR1,72,72,89,0,oncogene
NRF1,1,ESR1,72,72,89,0,tumorsupressor
NR5A2,1,ESR1,72,72,89,0,oncogene
MMP13,1,ESR1,72,72,89,0,cigene
MDM2,1,ESR1,72,72,89,0,oncogene
KDR,1,ESR1,72,72,89,0,cigene
HTRA2,1,ESR1,72,72,89,0,tumorsupressor
HSPB1,1,ESR1,72,72,89,0,oncogene
FOXP1,1,ESR1,72,72,89,0,"oncogene, tumorsupressor"
F12,1,ESR1,72,72,89,0,both
ESRRA,1,ESR1,72,72,89,0,Tumorsupressor gene
DCT,1,ESR1,72,72,89,0,Tumorsupressor gene
CYP2C19,1,ESR1,72,72,89,0,Tumorsupressor gene
CYP1B1,1,ESR1,72,72,89,0,Tumorsupressor gene
CYP1A1,1,ESR1,72,72,89,0,oncogene
CXCL12,1,ESR1,72,72,89,0,tumorsupressor
CRHBP,1,ESR1,72,72,89,0,oncogene
CRH,1,ESR1,72,72,89,0,both
CHAT,1,ESR1,72,72,89,0,both
CDKN1B,1,ESR1,72,72,89,0,"oncogene, tumorsupressor"
CDK4,1,ESR1,72,72,89,0,oncogene
CD24,1,ESR1,72,72,89,0,oncogene
BTG2,1,ESR1,72,72,89,0,tumorsupressor
BLM,1,ESR1,72,72,89,0,tumorsupressor
AVP,1,ESR1,72,72,89,0,oncogene
AMH,1,ESR1,72,72,89,0,tumorsupressor
YBX1,1,ERBB2,79,79,31,0,oncogene
XRCC6,1,ERBB2,79,79,31,0,tumorsupressor gene
XRCC5,1,ERBB2,79,79,31,0,tumorsupressor
WWP1,1,ERBB2,79,79,31,0,oncogene
VDR,1,ERBB2,79,79,31,0,tumorsupressor
TFAP2B,1,ERBB2,79,79,31,0,oncogene
TFAP2A,3,"MMP9,KRT5,ERBB2",214,"81,54,79","32,5,31",0,tumorsupressor
SP4,2,"BIRC5,ERBB2",153,"74,79","26,31",0,TF
SP3,4,"BIRC5,ERBB2,PLAT,ID4",205,"74,79,52","26,31,9,6",0,TF
PURA,1,ERBB2,79,79,31,0,TF
PAX2,1,ERBB2,79,79,31,0,oncogene
GATA4,1,ERBB2,79,79,31,0,tumorsupressor
GABPA,1,ERBB2,79,79,31,0,TF
ETV4,1,ERBB2,79,79,31,0,oncogene
ELF1,1,ERBB2,79,79,31,0,TF
ECD,1,ERBB2,79,79,31,0,TF
ATF7,1,ERBB2,79,79,31,0,TF
ATF1,1,ERBB2,79,79,31,0,oncogene
KLF4,2,"BIRC5,KRT19",128,"74,54","26,6",0,"oncogene, tumorsupressor"
ZEB1,2,"MUC1,ESR1",131,"59,72","10,89",0,cigene
PIAS4,1,MUC1,59,59,10,0,TF
PIAS2,1,MUC1,59,59,10,0,TF
PIAS1,1,MUC1,59,59,10,0,tumorsupressor
USF1,2,"SERPINE1,ID4",123,"71,52","24,6",0,TF
TGIF1,1,SERPINE1,71,71,24,0,TF
PPARA,2,"MMP9,SERPINE1",152,"81,71","32,24",0,tumorsupressor
PARP1,2,"SERPINE1,JUN",77,"71,6","24,33",0,TF
NR4A1,1,SERPINE1,71,71,24,0,tumorsupressor
KLF10,1,SERPINE1,71,71,24,0,tumorsupressor
HSF1,2,"SERPINE1,JUN",77,"71,6","24,33",0,TF
EPAS1,1,SERPINE1,71,71,24,0,tumorsupressor
NKX2-3,1,EGR1,66,66,106,0,TF
MAML1,1,EGR1,66,66,106,0,TF
KLF5,4,"BIRC5,MMP9,SERPINE1,EGR1",292,"74,81,71,66","26,32,24,106",0,"oncogene, tumorsupressor"
FOXO1,1,EGR1,66,66,106,0,"oncogene, tumorsupressor"
ATF5,1,EGR1,66,66,106,0,TF
WNT4,1,EGR1,66,66,106,0,
UBE2S,1,EGR1,66,66,106,0,
TP73,2,"BIRC5,EGR1",140,"74,66","26,106",0,"oncogene, tumorsupressor"
TOE1,1,EGR1,66,66,106,0,
TNFSF10,1,EGR1,66,66,106,0,
TMPO,1,EGR1,66,66,106,0,
TGFBR2,1,EGR1,66,66,106,0,tumorsupressor
TFPI2,1,EGR1,66,66,106,0,tumorsupressor
TBXA2R,1,EGR1,66,66,106,0,
SYN2,1,EGR1,66,66,106,0,
SYN1,1,EGR1,66,66,106,0,
STMN1,1,EGR1,66,66,106,0,oncogene
STIM1,1,EGR1,66,66,106,0,
SPRY1,1,EGR1,66,66,106,0,
SOX18,1,EGR1,66,66,106,0,
SOD1,1,EGR1,66,66,106,0,
SLC9A3,1,EGR1,66,66,106,0,
SLC4A2,1,EGR1,66,66,106,0,
RBL2,1,EGR1,66,66,106,0,tumorsupressor
RAG2,1,EGR1,66,66,106,0,
PTP4A1,1,EGR1,66,66,106,0,oncogene
PTGES,1,EGR1,66,66,106,0,
PSEN2,1,EGR1,66,66,106,0,
POR,1,EGR1,66,66,106,0,
PDGFC,1,EGR1,66,66,106,0,
PCSK2,1,EGR1,66,66,106,0,
NAB2,1,EGR1,66,66,106,0,TF
MYB,2,"ERBB2,EGR1",145,"79,66","31,106",0,oncogene
MMP14,1,EGR1,66,66,106,0,cigene
LTB,1,EGR1,66,66,106,0,
LMTK2,1,EGR1,66,66,106,0,
LHB,1,EGR1,66,66,106,0,
LDLR,1,EGR1,66,66,106,0,
LAT,1,EGR1,66,66,106,0,
KLK3,1,EGR1,66,66,106,0,
IMPDH2,1,EGR1,66,66,106,0,
IL3,1,EGR1,66,66,106,0,
IL2RB,1,EGR1,66,66,106,0,
IL2,1,EGR1,66,66,106,0,proto-oncogene
IFNG,1,EGR1,66,66,106,0,oncogene
HYAL1,1,EGR1,66,66,106,0,
HSD11B2,1,EGR1,66,66,106,0,
HPSE,1,EGR1,66,66,106,0,
