,Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade
0,MYCN,1,BIRC5,74,74,26,0,oncogene,0,0,,,
1,ILF3,1,BIRC5,74,74,26,0,Tumorsupressor gene,0,0,,,
2,FOXO3,1,BIRC5,74,74,26,0,"proto-oncogene, tumorsupressor",0,0,,,
3,EHMT2,1,BIRC5,74,74,26,0,oncogene,0,0,,,
4,E2F4,1,BIRC5,74,74,26,0,TF,0,0,,,
5,DNMT1,1,BIRC5,74,74,26,0,"oncogene, tumorsupressor, cigene",0,0,,,
6,APC,1,BIRC5,74,74,26,0,tumorsupressor,0,0,,,
7,SPDEF,1,MMP9,81,81,32,0,"oncogene, tumorsupressor",0,0,,,
8,SP2,1,MMP9,81,81,32,0,TF,0,0,,,
9,SIRT1,1,MMP9,81,81,32,0,"oncogene, tumorsupressor",0,0,,,
10,NFKBIA,1,MMP9,81,81,32,0,oncogene,0,0,,,
11,MAZ,1,MMP9,81,81,32,0,Tumorsupressor gene,0,0,,,
12,KLF8,1,MMP9,81,81,32,0,oncogene,0,0,,,
13,KLF6,1,MMP9,81,81,32,0,"oncogene, tumorsupressor",0,0,,,
14,IKBKB,1,MMP9,81,81,32,0,oncogene,0,0,,,
15,ELF4,1,MMP9,81,81,32,0,oncogene,0,0,,,
16,CIITA,1,MMP9,81,81,32,0,oncogene,0,0,,,
17,XBP1,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
18,NR2E3,1,ESR1,72,72,89,0,oncogene,0,0,,,
19,MECP2,1,ESR1,72,72,89,0,cigene,0,0,,,
20,LEF1,2,"BIRC5,ESR1",146,"74,72","26,89",0,oncogene,0,0,,,
21,KDM4B,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
22,HDAC9,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
23,BARX2,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
24,BARD1,1,ESR1,72,72,89,0,"oncogene, tumorsupressor",0,0,,,
25,ZFHX3,1,ESR1,72,72,89,0,tumorsupressor,0,0,,,
26,UGT2B15,1,ESR1,72,72,89,0,oncogene,0,0,,,
27,UGT1A4,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
28,TYMS,1,ESR1,72,72,89,0,oncogene,0,0,,,
29,TAC3,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
30,SERPINB9,1,ESR1,72,72,89,0,oncogene,0,0,,,
31,RUNX2,1,ESR1,72,72,89,0,tumorsupressor,0,0,,,
32,RET,1,ESR1,72,72,89,0,oncogene,0,0,,,
33,RARA,1,ESR1,72,72,89,0,oncogene,0,0,,,
