Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
MYCN,Oncogene,"Transcriptional misregulation, Apoptosis, Proliferation of cells",None Found,Activation,3,2,0,0,1,,,,,1,
ILF3,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Activation,10,4,0,0,6,,,,,1,
FOXO3,"Proto-oncogene, Tumorsupressor","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,3,1,1,0,1,,,,,1,
EHMT2,Oncogene,"Apoptosis, Proliferation of cells",None Found,Unknown,2,2,0,0,0,,,,,1,
E2F4,TF,Cell Signaling,None Found,Unknown,1,0,0,1,0,,,,,1,
DNMT1,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,Repression,9,6,3,0,0,,,,,1,
APC,Tumorsupressor,Cell Signaling,None Found,Unknown,23,18,3,2,0,,,,,1,
SPDEF,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,Repression,4,4,0,0,0,,,,,1,
SP2,TF,"Apoptosis, Cell Signaling",None Found,Repression,2,2,0,0,0,,,,,1,
SIRT1,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,3,2,0,0,1,,,,,1,
NFKBIA,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,2,1,0,0,1,,,,,1,
MAZ,Tumorsupressor,Proliferation of cells,None Found,Unknown,7,3,2,1,1,,,,,1,
KLF8,Oncogene,Proliferation of cells,None Found,Activation,2,0,0,0,2,,,,,1,
KLF6,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,Repression,1,1,0,0,0,,,,,1,
IKBKB,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,10,5,0,1,4,,,,,1,
ELF4,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,10,5,3,0,2,,,,,1,
CIITA,Oncogene,"Apoptosis, Proliferation of cells",None Found,Repression,7,5,2,0,0,,,,,1,
XBP1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Activation,8,3,0,1,4,,,,,1,
NR2E3,Oncogene,None Found,None Found,Unknown,3,2,1,0,0,,,,,1,
MECP2,Cigene,"Apoptosis, Proliferation of cells",None Found,Repression,12,5,2,0,5,,,,,1,
LEF1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,2,0,0,0,2,,,,,2,
KDM4B,Tumorsupressor,None Found,None Found,Unknown,6,2,2,1,1,,,,,1,
HDAC9,Tumorsupressor,Apoptosis,None Found,Repression,8,4,2,1,1,,,,,1,
BARX2,Tumorsupressor,Proliferation of cells,None Found,Unknown,2,2,0,0,0,,,,,1,
BARD1,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",-1.116906394,Activation,3,0,2,0,1,,,,,1,
ZFHX3,Tumorsupressor,None Found,None Found,None Found,21,8,7,5,1,,,,,0,
UGT2B15,Oncogene,Proliferation of cells,None Found,None Found,6,3,2,1,0,,,,,0,
UGT1A4,Tumorsupressor,None Found,None Found,None Found,2,2,0,0,0,,,,,0,
TYMS,Oncogene,"Apoptosis, Proliferation of cells",3.472520694,None Found,1,1,0,0,0,,,,,0,
TAC3,Tumorsupressor,Proliferation of cells,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
SERPINB9,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,6,4,2,0,0,,,,,0,
RUNX2,Tumorsupressor,"Transcriptional misregulation, Apoptosis, Proliferation of cells",None Found,Unknown,6,2,1,2,1,,,,,1,
RET,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,8,7,1,0,0,,,,,0,
RARA,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,1,3,0,1,,,,,0,
PTMA,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,2,0,0,0,2,,,,,0,
PMAIP1,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",4.374616319,None Found,1,0,0,0,1,,,,,0,
OXT,Oncogene,"Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
NRF1,Tumorsupressor,Cell Signaling,None Found,None Found,4,2,1,0,1,,,,,0,
NR5A2,Oncogene,Proliferation of cells,None Found,None Found,10,4,2,0,4,,,,,0,
MMP13,Cigene,Cell Signaling,10.23270762,None Found,5,3,2,0,0,,,,,0,
MDM2,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,0,
KDR,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,9,7,2,0,0,,,,,0,
HTRA2,Tumorsupressor,Apoptosis,None Found,None Found,2,0,1,0,1,,,,,0,
HSPB1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,0,1,0,2,,,,,0,
FOXP1,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,8,3,1,2,2,,,,,0,
F12,"Tumorsupressor, Oncogene","Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
ESRRA,Tumorsupressor,Proliferation of cells,None Found,None Found,1,0,1,0,0,,,,,0,
DCT,Tumorsupressor,Drug metabolism,-11.07460299,None Found,4,4,0,0,0,,,,,0,
CYP2C19,Tumorsupressor,Drug metabolism,None Found,None Found,8,5,3,0,0,,,,,0,
CYP1B1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,1,0,1,,,,,0,
CYP1A1,Oncogene,Proliferation of cells,None Found,None Found,4,1,1,0,2,,,,,0,
CXCL12,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
CRHBP,Oncogene,None Found,-4.534659588,None Found,2,1,0,1,0,,,,,0,
CRH,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,1,0,0,0,1,,,,,0,
CHAT,"Tumorsupressor, Oncogene",Drug metabolism,None Found,None Found,3,2,1,0,0,,,,,0,
CDKN1B,"Tumorsupressor, Oncogene","Cell Division, Cell Cycle",None Found,None Found,6,0,0,5,1,,,,,0,
CDK4,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
CD24,Oncogene,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
