source,target,L1,L2,L3
0,497,0,1,1
0,699,0,1,1
0,796,1,0,1
1,196,0,1,1
2,343,1,1,1
3,17,1,1,1
3,597,1,0,1
4,55,1,0,0
4,77,1,0,0
4,78,1,0,0
4,86,1,0,0
4,93,1,0,0
4,96,1,0,0
4,97,1,0,0
4,148,1,0,0
4,149,1,0,0
4,154,1,0,0
4,248,1,0,0
4,296,1,0,0
4,379,1,0,0
4,479,1,0,0
4,482,1,0,0
4,483,1,0,0
4,484,1,0,0
4,572,1,0,0
4,592,1,0,0
4,614,1,0,0
4,659,1,0,0
4,690,1,0,0
4,721,1,0,0
4,740,1,0,0
4,763,1,0,0
4,764,1,0,0
4,780,1,0,0
4,784,1,0,0
4,821,1,0,0
5,497,0,1,1
6,196,0,1,1
7,196,0,1,1
8,174,0,1,1
9,174,0,1,1
10,249,1,1,1
10,283,1,0,1
10,483,1,0,1
11,699,0,1,1
12,597,1,1,1
13,597,1,1,1
14,191,0,1,1
14,209,1,0,1
14,540,1,0,1
15,573,0,1,1
16,573,0,1,1
17,3,1,0,0
17,25,1,0,0
17,27,1,0,0
17,28,1,0,0
17,73,1,0,0
17,161,1,0,0
17,163,1,0,0
17,164,1,0,0
17,165,1,0,0
17,166,1,0,0
17,195,1,0,0
17,219,1,0,0
17,249,1,0,0
17,255,1,0,0
17,330,1,0,0
17,331,1,0,0
17,355,1,0,0
17,360,1,0,0
17,517,1,0,0
17,556,1,0,0
17,569,1,0,0
17,624,1,0,0
17,638,1,0,0
17,639,1,0,0
17,718,1,0,0
17,740,1,0,0
17,760,1,0,0
17,762,1,0,0
17,809,1,0,0
17,836,1,0,0
18,699,0,1,1
19,196,0,1,1
20,27,0,1,1
20,143,1,1,1
20,154,1,0,1
20,174,1,0,1
20,188,1,0,1
20,219,1,0,1
20,220,1,0,1
20,252,1,0,1
20,253,1,0,1
20,293,1,0,1
20,316,1,0,1
20,354,1,0,1
20,392,1,0,1
20,478,1,0,1
20,482,1,0,1
20,483,1,0,1
20,484,1,0,1
20,488,1,0,1
20,517,1,0,1
20,542,1,0,1
20,550,1,0,1
20,562,1,0,1
20,602,1,0,1
20,659,1,0,1
20,691,1,0,1
20,707,1,0,1
20,762,1,0,1
20,765,1,0,1
20,820,1,0,1
20,826,1,0,1
20,844,1,0,1
20,855,1,0,1
21,486,0,1,1
21,699,1,0,1
