Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade,Protein,Classification,Pathway Name,Function / Role,Function (discrete),Gene Expression (not used),Source (Ref),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,Combination gene reguation (regulated by this # genes),degree,betweenness,eigenvector,closeness,pagerank,corenumber,clustering
MYCN,1,BIRC5,74,74,26,0,oncogene,0,0,1,46,1,MYCN,oncogene,"Transcriptional misregulation in cancer, Immunosuppressive agents",These genes play important roles in regulating cell growth and division (proliferation) and the self-destruction of cells (apoptosis).,"Transcriptional misregulation, Apoptosis, Proliferation of cells",2 Download file,,,Activation,3,2,0,0,1,1,0.001158748552,0,0.0051851175,0.2558553217,0.0008065974766,1,0.1037231673
ILF3,1,BIRC5,74,74,26,0,tumorsuppressor,0,0,1,46,1,ILF3,Tumorsupressor gene,,,"Apoptosis, Proliferation of cells",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6467003/,,Activation,10,4,0,0,6,1,0.08458864426,0.1278887769,0.08086883708,0.3436877738,0.02048287672,5,0.1037231673
FOXO3,1,BIRC5,74,74,26,0,"proto-oncogene, tumorsuppressor",0,0,1,46,1,FOXO3,"proto-oncogene, tumorsupressor","Longevity regulating pathway - worm, Longevity regulating pathway - multiple species, Cellular senescence, AMPK signaling pathway, Non-small cell lung cancer, EGFR tyrosine kinase inhibitor resistance, Mitophagy - animal, Prolactin signaling pathway, Chemokine signaling pathway, PI3K-Akt signaling pathway, Longevity regulating pathway, Axon regeneration, Neurotrophin signaling pathway, Shigellosis, Endometrial cancer","regulates different processes, such as apoptosis and autophagy","Signalling Pathway, Apoptosis, Proliferation of cells",,,,Unknown,3,1,1,0,1,1,0.001158748552,0,0.0051851175,0.2558553217,0.0008065974766,1,0.1037231673
EHMT2,1,BIRC5,74,74,26,0,oncogene,0,0,1,46,1,EHMT2,oncogene,no pathway,EHMT2 in regulating autophagic cell death,"Apoptosis, Proliferation of cells",,https://pubmed.ncbi.nlm.nih.gov/27452519/,,Unknown,2,2,0,0,0,1,0.001158748552,0,0.0051851175,0.2558553217,0.0008065974766,1,0.1037231673
E2F4,1,BIRC5,74,74,26,0,TF,0,0,1,46,1,E2F4,TF,"Cell cycle, TGF-beta signaling pathway	, Cellular senescence	",E2F1 upregulates the expression of four autophagy,Cell Signalling,,,,Unknown,1,0,0,1,0,1,0.001158748552,0,0.0051851175,0.2558553217,0.0008065974766,1,0.1037231673
DNMT1,1,BIRC5,74,74,26,0,"oncogene, tumorsuppressor, cigene",0,0,1,46,1,DNMT1,"oncogene, tumorsupressor, cigene","Cysteine and methionine metabolism, Metabolic pathways, MicroRNAs in cancer                ","These include determining whether the instructions in a particular segment of DNA are carried out or suppressed (gene silencing), regulating reactions involving proteins and fats (lipids), and controlling the processing of chemicals that relay signals in the nervous system (neurotransmitters)","Apoptosis, Proliferation of cells",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5251331/,,Repression,9,6,3,0,0,1,0.001158748552,0,0.0051851175,0.2558553217,0.0008065974766,1,0.1037231673
APC,1,BIRC5,74,74,26,0,tumorsuppressor,0,0,1,46,1,APC,tumorsupressor,"Inflammatory bowel disease-Type I diabetes mellitus-Colorectal cancer-Asthma-Ubiquitin mediated proteolysis-Gastric cancer-Allograft rejection-Th1 and Th2 cell differentiation-Th17 cell differentiation-Graft-versus-host disease-Cell cycle - yeast-Cell cycle-Meiosis - yeast-Progesterone-mediated oocyte maturation-Human T-cell leukemia virus 1 infection-Metabolic pathways-Photosynthesis - antenna proteins-Wnt signaling pathway-Signaling pathways regulating pluripotency of stem cells
","plays a critical role in several cellular processes. The APC protein acts as a tumor suppressor, which means that it keeps cells from growing and dividing too fast or in an uncontrolled way. ",Cell Signalling,,,,Unknown,23,18,3,2,0,1,0.001158748552,0,0.0051851175,0.2558553217,0.0008065974766,1,0.1037231673
SPDEF,1,MMP9,81,81,32,0,"oncogene, tumorsuppressor",0,0,0,6,0,SPDEF,"oncogene, tumorsupressor",Axon regeneration,play a role in the regulation of the prostate gland and/or prostate cancer development. Acts as a transcriptional activator for SERPINB5 promoter.,"Regeneration, Apoptosis, Proliferation of cells",,https://www.dovepress.com/double-agent-spdef-gene-with-both-oncogenic-and-tumor-suppressor-funct-peer-reviewed-fulltext-article-CMAR,,Repression,4,4,0,0,0,1,0.001158748552,0,0.0051851175,0.2558553217,0.0008065974766,1,0.1037231673
SP2,1,MMP9,81,81,32,0,TF,0,0,0,6,0,SP2,TF,"Apoptosis-Necroptosis-IL-17 signaling pathway-Coronavirus disease - COVID-19-Protein processing in endoplasmic reticulum-Complement and coagulation cascades-Malaria-Staphylococcus aureus infection-MAPK signaling pathway-VEGF signaling pathway-Parkinson disease-Pathways of neurodegeneration - multiple diseases-Amoebiasis-Proteoglycans in cancer
","ns SP2 recognized binding motifs in the human RORgammaT promoter, which was critical for maintaining expression.","Apoptosis, Cell Signalling",,https://cancerres.aacrjournals.org/content/64/9/3072,,Repression,2,2,0,0,0,1,0.001158748552,0,0.01130590649,0.273620799,0.0007891592834,1,0.1037231673
SIRT1,1,MMP9,81,81,32,0,"oncogene, tumorsuppressor",0,0,0,6,0,SIRT1,"oncogene, tumorsupressor",Longevity regulating pathway - multiple species-Cellular senescence-Glucagon signaling pathway-Longevity regulating pathway - worm-FoxO signaling pathway-AMPK signaling pathway-Amphetamine addiction-MicroRNAs in cancer-Nicotinate and nicotinamide metabolism-Metabolic pathways,"functions such as cell cycle, response to DNA damage, metabolism, apoptosis and autophagy","Cell Signalling, Apoptosis, Proliferation of cells",,,,Repression,3,2,0,0,1,1,0.09269988413,0.1226862468,0.1763334799,0.3765270506,0.01895651719,5,0.1037231673
